重要古文単語50個,高校生向けの古文重要単語50個です。
いみじ,甚だしい。たいへんだ。
めでたし,すばらしい。喜ばしい。
をかし,趣がある。かわいい。おもしろい。
うつくし,いとしい。かわいい。
おどろく,はっとする。目覚める。
あまた,たくさん。
かたち,姿。顔つき。子。
しるし,はっきり分かる。
むつかし,不快だ。うっとうしい。
あさまし,意外だ。
さがなし,性格が悪い。
ひねもす,終日。一日中。
ものす,ある。いる。
いらふ,答える。返事をする。
かたみに,互いに
ののしる,大声で騒ぐ。
さうざうし,物足りない。物寂しい。
ものぐるほし,気が変になりそうだ。
ゆかし,見たい、聞きたい。知りたい。
わびし,がっかりする。つらい。
あらまほし,理想的だ。好ましい。
ゆゆし,不吉だ。
うしろめたし,気がかりだ。不安だ。
いとほし,気の毒だ。かわいそうだ。
かたはらいたし,きまりが悪い。みっともない。
あぢきなし,無意味だ。つまらない。
かしづく,大切に育てる。
はづかし,立派だ。気がひける。
おこたる,過失を犯す。病気が治る。
やがて,すぐに。
やうやう,だんだん。
はしたなし,決まりが悪い。中途半端だ。
いつしか,いつの間にか。
よしなし,仕方がない。
おのづから,自然に。ひとりでに。
げに,本当に。なるほど。
なかなか,むしろ。かえって。
つきづきし,ふさわしい。似つかわしい。理想的だ。
すさまじ,興ざめだ。面白くない。
やむごとなし,大切である。尊い。高貴だ。
つとめて,早朝。
あいなし,おもしろくない。不快だ。
ありがたし,珍しい。めったになり。
あやなし,筋が通らない。不当だ。
ゆくりなし,思いがけない。不意だ。
さらなり,言うまでもない。
あらまし,予定。計画。
いぶせし,気が晴れない。鬱陶しい。
あたらし,惜しい。もったいない。
ゐ（い）る,座る。引き連れる。
